TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;3,98;;-7,53;0,57;0,20;26,83;9,47;-6,49;5,17;8,26;3,10;0,34;0,49;138,67;-0,27;1,01;-7,54;-2,66;5,63;0,35;0,64;0,41;2,55;;448.875,29;7,00;-0,53;0,15;606.390.738,36
ABCB4;25,67;10,20;6,27;0,93;0,10;19,54;14,15;11,82;5,24;5,24;;;0,74;-3,02;-0,10;0,24;14,82;1,57;;0,11;0,89;0,13;28,96;24,08;13.611.616,48;27,63;4,10;1,98;6.280.341.519,19
ABEV3;14,66;6,73;14,90;2,60;1,59;51,42;26,54;17,57;9,86;9,14;-0,72;-0,19;2,62;-134,05;-2,28;0,96;17,46;10,69;21,37;0,61;0,39;0,61;8,61;6,38;377.804.795,10;5,63;0,98;2,02;231.065.624.162,96
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;2,54;;-0,13;-0,23;0,10;1,74;-117,42;-147,83;-0,16;-1,96;-1,80;;0,19;-1,37;-0,14;0,81;-178,95;-77,22;-90,79;-0,43;1,43;0,52;-19,51;;100.540,00;-11,21;-20,06;0,00;157.785.297,84
AESB3;8,12;;-15,99;1,45;0,38;28,03;22,77;-11,70;8,22;19,07;10,85;1,92;1,87;-96,33;-0,45;0,97;-9,07;-2,39;4,38;0,26;0,74;0,20;;;13.684.494,00;5,60;-0,51;-1,15;7.663.439.293,44
AFLT3;7,32;6,39;19,38;1,87;1,34;76,73;66,02;48,47;14,23;14,20;-0,03;0,00;9,39;7,46;-2,00;2,22;9,63;6,93;9,08;0,72;0,28;0,14;6,47;4,96;1.718,33;3,92;0,38;-0,65;461.780.004,00
AGRO3;20,86;3,61;-1.358,26;1,03;0,57;14,71;1,96;-0,15;107,13;170,56;63,43;0,61;2,10;5,27;-0,81;1,61;-0,08;-0,04;-1,03;0,56;0,44;0,27;10,70;;3.633.541,00;20,24;-0,02;13,51;2.141.976.641,84
AGXY3;2,25;;0,03;-0,21;0,02;-1,14;39,74;70,06;0,05;1,42;1,36;;0,02;0,08;-0,03;2,19;-661,54;55,38;83,66;-0,08;1,08;0,79;24,29;123,15;40.611,71;-10,93;72,30;0,00;38.181.534,75
AHEB3;25,00;;2,59;0,83;0,36;19,91;11,04;12,25;2,87;1,90;-1,03;-0,30;0,32;1,43;-0,63;2,46;32,19;13,95;27,08;0,43;0,57;1,14;44,62;;8.903,25;30,00;9,66;-0,06;217.677.860,00
AHEB5;58,00;;6,01;1,93;0,84;19,91;11,04;12,25;6,67;1,90;-1,03;-0,30;0,74;3,33;-1,45;2,46;32,19;13,95;27,08;0,43;0,57;1,14;44,62;;0,00;30,00;9,66;-0,14;217.677.860,00
AHEB6;55,00;;5,70;1,83;0,79;19,91;11,04;12,25;6,32;1,90;-1,03;-0,30;0,70;3,15;-1,38;2,46;32,19;13,95;27,08;0,43;0,57;1,14;44,62;;5.500,00;30,00;9,66;-0,13;217.677.860,00
ALLD3;7,47;15,51;2,03;0,42;0,19;11,57;9,29;6,55;1,43;1,11;-0,32;-0,09;0,13;0,57;-0,74;1,81;20,88;9,36;17,18;0,45;0,55;1,43;8,27;28,55;3.041.587,05;17,65;3,69;0,02;715.928.452,83
ALOS3;29,89;6,31;18,07;1,08;0,58;73,88;53,84;29,18;9,79;8,21;-1,58;-0,17;5,27;7,42;-0,66;2,58;6,00;3,21;10,46;0,53;0,47;0,11;29,09;37,61;160.623.308,67;27,57;1,65;0,93;15.070.267.405,83
ALPA3;12,08;4,07;14,51;2,48;1,35;52,17;13,03;12,46;13,87;15,22;1,14;0,20;1,81;8,06;-2,44;1,61;17,11;9,33;12,62;0,55;0,45;0,75;6,29;32,33;146.326,33;4,87;0,83;0,03;8.375.070.193,64
ALPA4;12,44;4,35;14,94;2,56;1,39;52,17;13,03;12,46;14,29;15,22;1,14;0,20;1,86;8,30;-2,51;1,61;17,11;9,33;12,62;0,55;0,45;0,75;6,29;32,33;24.435.852,86;4,87;0,83;0,04;8.375.070.193,64
ALPK3;4,47;;138,93;2,66;0,39;30,44;13,93;0,38;3,76;8,39;4,63;3,27;0,52;-4,49;-0,48;0,68;1,91;0,28;13,68;0,15;0,85;0,74;23,59;;819.919,57;1,68;0,03;-0,96;980.296.626,51
ALUP11;34,62;3,73;9,39;0,91;0,36;69,57;70,82;27,64;3,66;6,68;3,01;0,75;2,59;3,10;-0,44;2,45;9,67;3,79;10,34;0,39;0,61;0,14;-6,46;5,23;36.228.772,14;38,15;3,69;0,79;11.411.682.135,54
ALUP3;12,90;3,33;10,49;1,01;0,40;69,57;70,82;27,64;4,10;6,68;3,01;0,75;2,90;3,47;-0,49;2,45;9,67;3,79;10,34;0,39;0,61;0,14;-6,46;5,23;106.736,57;12,72;1,23;0,88;11.411.682.135,54
ALUP4;10,88;3,95;8,85;0,86;0,34;69,57;70,82;27,64;3,45;6,68;3,01;0,75;2,45;2,92;-0,42;2,45;9,67;3,79;10,34;0,39;0,61;0,14;-6,46;5,23;107.220,52;12,72;1,23;0,74;11.411.682.135,54
AMAR3;0,85;;27,13;1,48;0,20;52,44;16,87;1,08;1,73;4,92;3,19;2,72;0,29;-1,65;-0,29;0,70;5,45;0,76;21,48;0,14;0,86;0,70;-13,55;;142.689,00;0,58;0,03;-0,26;436.488.856,70
