data_hora,vela_azul,vela_roxa,vela_rosa,p_vela_azul,p_vela_roxa,p_vela_rosa
2025-12-05 01:26:31,95.00,86.00,19.00,47.50,43.00,9.50
2025-12-05 01:27:20,95.00,86.00,19.00,47.50,43.00,9.50
2025-12-05 01:27:54,95.00,86.00,19.00,47.50,43.00,9.50
2025-12-05 01:28:43,94.00,87.00,19.00,47.00,43.50,9.50
2025-12-05 01:29:32,94.00,87.00,19.00,47.00,43.50,9.50
2025-12-05 01:30:23,95.00,85.00,20.00,47.50,42.50,10.00
2025-12-05 01:31:14,94.00,86.00,20.00,47.00,43.00,10.00
2025-12-05 01:32:07,94.00,86.00,20.00,47.00,43.00,10.00
2025-12-05 01:32:56,93.00,87.00,20.00,46.50,43.50,10.00
2025-12-05 01:33:45,94.00,87.00,19.00,47.00,43.50,9.50
2025-12-05 01:34:36,94.00,87.00,19.00,47.00,43.50,9.50
2025-12-05 01:35:24,94.00,87.00,19.00,47.00,43.50,9.50
2025-12-05 01:36:17,97.00,83.00,20.00,48.50,41.50,10.00
2025-12-05 01:37:06,97.00,84.00,19.00,48.50,42.00,9.50
2025-12-05 01:37:55,95.00,86.00,19.00,47.50,43.00,9.50
2025-12-05 01:38:43,95.00,86.00,19.00,47.50,43.00,9.50
2025-12-05 01:39:32,95.00,86.00,19.00,47.50,43.00,9.50
2025-12-05 01:40:21,95.00,87.00,18.00,47.50,43.50,9.00
2025-12-05 01:41:10,96.00,87.00,17.00,48.00,43.50,8.50
2025-12-05 01:41:59,97.00,86.00,17.00,48.50,43.00,8.50
2025-12-05 01:42:48,99.00,86.00,15.00,49.50,43.00,7.50
2025-12-05 01:43:37,99.00,85.00,16.00,49.50,42.50,8.00
2025-12-05 01:44:26,99.00,85.00,16.00,49.50,42.50,8.00
2025-12-05 01:45:17,98.00,86.00,16.00,49.00,43.00,8.00
2025-12-05 01:46:05,99.00,85.00,16.00,49.50,42.50,8.00
2025-12-05 01:46:55,99.00,85.00,16.00,49.50,42.50,8.00
2025-12-05 01:47:43,98.00,86.00,16.00,49.00,43.00,8.00
2025-12-05 01:48:31,97.00,87.00,16.00,48.50,43.50,8.00
2025-12-05 01:49:20,97.00,89.00,14.00,48.50,44.50,7.00
2025-12-05 01:50:10,99.00,87.00,14.00,49.50,43.50,7.00
2025-12-05 01:51:00,99.00,87.00,14.00,49.50,43.50,7.00
2025-12-05 01:51:49,99.00,87.00,14.00,49.50,43.50,7.00
2025-12-05 01:52:38,100.00,86.00,14.00,50.00,43.00,7.00
2025-12-05 01:53:27,99.00,87.00,14.00,49.50,43.50,7.00
2025-12-05 01:54:16,99.00,87.00,14.00,49.50,43.50,7.00
2025-12-05 01:55:05,100.00,86.00,14.00,50.00,43.00,7.00
2025-12-05 01:55:55,99.00,87.00,14.00,49.50,43.50,7.00
2025-12-05 01:56:44,99.00,87.00,14.00,49.50,43.50,7.00
2025-12-05 01:57:32,98.00,88.00,14.00,49.00,44.00,7.00
2025-12-05 01:58:21,99.00,87.00,14.00,49.50,43.50,7.00
2025-12-05 01:59:11,97.00,89.00,14.00,48.50,44.50,7.00
2025-12-05 02:00:00,95.00,91.00,14.00,47.50,45.50,7.00
2025-12-05 02:00:49,94.00,92.00,14.00,47.00,46.00,7.00
2025-12-05 02:01:38,95.00,92.00,13.00,47.50,46.00,6.50
2025-12-05 02:02:27,95.00,92.00,13.00,47.50,46.00,6.50
2025-12-05 02:03:16,95.00,93.00,12.00,47.50,46.50,6.00
2025-12-05 02:04:06,95.00,92.00,13.00,47.50,46.00,6.50
2025-12-05 02:04:55,94.00,93.00,13.00,47.00,46.50,6.50
2025-12-05 02:05:44,94.00,93.00,13.00,47.00,46.50,6.50
2025-12-05 02:06:34,93.00,94.00,13.00,46.50,47.00,6.50
2025-12-05 02:07:24,93.00,94.00,13.00,46.50,47.00,6.50
2025-12-05 02:08:14,92.00,95.00,13.00,46.00,47.50,6.50
2025-12-05 02:09:04,91.00,96.00,13.00,45.50,48.00,6.50
2025-12-05 02:09:53,91.00,96.00,13.00,45.50,48.00,6.50
2025-12-05 02:10:42,94.00,93.00,13.00,47.00,46.50,6.50
2025-12-05 02:11:31,94.00,93.00,13.00,47.00,46.50,6.50
2025-12-05 02:12:19,93.00,94.00,13.00,46.50,47.00,6.50
2025-12-05 02:13:07,95.00,92.00,13.00,47.50,46.00,6.50
2025-12-05 02:13:57,93.00,94.00,13.00,46.50,47.00,6.50
2025-12-05 02:14:45,96.00,92.00,12.00,48.00,46.00,6.00
2025-12-05 02:15:34,95.00,94.00,11.00,47.50,47.00,5.50
2025-12-05 02:16:23,94.00,95.00,11.00,47.00,47.50,5.50
2025-12-05 02:17:13,93.00,96.00,11.00,46.50,48.00,5.50
2025-12-05 02:18:02,92.00,97.00,11.00,46.00,48.50,5.50
2025-12-05 02:18:53,93.00,96.00,11.00,46.50,48.00,5.50
2025-12-05 02:19:43,94.00,95.00,11.00,47.00,47.50,5.50
2025-12-05 02:20:35,95.00,94.00,11.00,47.50,47.00,5.50
2025-12-05 02:21:28,95.00,94.00,11.00,47.50,47.00,5.50
2025-12-05 02:22:16,95.00,94.00,11.00,47.50,47.00,5.50
2025-12-05 02:23:05,96.00,93.00,11.00,48.00,46.50,5.50
2025-12-05 02:23:59,96.00,93.00,11.00,48.00,46.50,5.50
2025-12-05 02:24:52,96.00,93.00,11.00,48.00,46.50,5.50
2025-12-05 02:25:43,97.00,92.00,11.00,48.50,46.00,5.50
2025-12-05 02:26:33,98.00,92.00,10.00,49.00,46.00,5.00
2025-12-05 02:27:24,97.00,92.00,11.00,48.50,46.00,5.50
2025-12-05 02:28:15,97.00,92.00,11.00,48.50,46.00,5.50
2025-12-05 02:29:09,97.00,93.00,10.00,48.50,46.50,5.00
2025-12-05 02:30:00,97.00,93.00,10.00,48.50,46.50,5.00
2025-12-05 02:30:51,96.00,94.00,10.00,48.00,47.00,5.00
2025-12-05 02:31:43,95.00,95.00,10.00,47.50,47.50,5.00
2025-12-05 02:32:34,95.00,95.00,10.00,47.50,47.50,5.00
2025-12-05 02:33:25,97.00,94.00,9.00,48.50,47.00,4.50
2025-12-05 02:34:19,97.00,95.00,8.00,48.50,47.50,4.00
2025-12-05 02:35:15,97.00,94.00,9.00,48.50,47.00,4.50
2025-12-05 02:36:07,97.00,94.00,9.00,48.50,47.00,4.50
2025-12-05 02:36:58,95.00,95.00,10.00,47.50,47.50,5.00
2025-12-05 02:37:50,95.00,95.00,10.00,47.50,47.50,5.00
2025-12-05 02:38:39,94.00,97.00,9.00,47.00,48.50,4.50
